"conversation","topic"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","Dating"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","pricing, Price, Clark County PUD, gas prices, November NP15, low load year, normal load year, heat rate, forward, analyst program"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Business"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Business"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Transwestern Pipeline, Capacity Constraint, Creekside Builders, promotion, web site, gas prices, Area Rugs, Clark County PUD, Enron Broadband Services, NEWGen"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Business"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Construction"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Enron, Transwestern Pipeline, conference call, gas prices, Capacity Constraint, Creekside Builders, HP, web site, Accenture, Area Rugs"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Energy"
"Last night<br />Lady, c&#x27;mon...you&#x27;re just one of the guys!  Wanna go to Treasures tonight?<br /><br />From: Margaret Allen@ENRON on 10/13/2000 08:39 AM<br />To: John Arnold/HOU/ECT@ECT<br />cc:  <br />Subject: Last night<br />Hey Buster John,<br />Despite the X&#x27;s you received last night for your ill behavior, I wanted to <br />thank you for dinner because I had a great time.  Although, I do take <br />personal offense to being flipped off at least 5 times in the course of <br />dinner. Watch your manners when your with a lady!<br />I hope you have a great Friday and today is one of your top 5 too!<br />MSA<br />","Construction"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","pricing, Price, Clark County PUD, gas prices, November NP15, low load year, normal load year, heat rate, forward, analyst program"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Business"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Business"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Transwestern Pipeline, Capacity Constraint, Creekside Builders, promotion, web site, gas prices, Area Rugs, Clark County PUD, Enron Broadband Services, NEWGen"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Business"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Construction"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Enron, Transwestern Pipeline, conference call, gas prices, Capacity Constraint, Creekside Builders, HP, web site, Accenture, Area Rugs"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Energy"
"Jacques,<br />Still trying to close the loop on the $15,000 of extensions.  Assuming that <br />it is worked out today or tomorrow, I would like to get whatever documents <br />need to be<br />completed to convey the partnership done.  I need to work with the engineer <br />and architect to get things moving.  I am planning on  writing a personal <br />check to the engineer while I am setting up new accounts.  Let me know if <br />there is a reason I should not do this.<br />Thanks for all your help so far.  Between your connections and expertise in <br />structuring the loan, you saved us from getting into a bad deal.<br />Phillip<br />","Construction"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Netflix, Blockbuster, Youtube, Eminem, comic book artist, YouTube, Starship troopers, country music, rap, fender stratocaster"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Entertainment"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Black music"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Netflix, Blockbuster, YouTube, HBO, netflix, peak internet traffic, internet traffic, Amazon, Incredibles 2, Youtube"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Science/Tech"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Business"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Iceland, Netflix, Incredibles 2, Kung Fu Hustle, sun, video games, Amazon, Pink Floyd, history, YouTube"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Science/Tech"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","Science/Tech"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","youtube, netflix, internet, traffic, search, blockbuster, google, engine, facebook, service"
"agent_1: Hello, do you watch Netflix?<br />agent_2: Hi there, I do sometimes, but don&#x27;t have an account myself.  How about you?<br />agent_1: I do have an account. Did you know from 9pm-12am, Netflix accounts for 33% of all the bandwidth in North America?<br />agent_2: Holy cow, that is so much bandwidth during those peak hours. <br />agent_1: I agree. Netflix and YouTube make up half of the peak internet traffic in North America.<br />agent_2: That is crazy, and I think it will even continue to grow in the future. <br />agent_1: Netflix is worth $2 billion right now.<br />agent_2: Wow, I think back in 2000, they proposed to Blockbuster that it should use Netflix as it&#x27;s online service, they laughed at the offer. <br />agent_1: I bet lol. Netflix was started due to a $40 late fee incurred by Reed Hastings.<br />agent_2: Yeah old Reed didn&#x27;t like those late fees, look what happened since then. <br />agent_1: Do you like Tom Cruise?<br />agent_2: Yeah I do, I really like 80&#x27;s Tom Cruise movies.  How about you?<br />agent_1: Me too. I love Top Gun.<br />agent_2: Yeah Top Gun was one of his best for sure, I always like risky business. <br />agent_1: Tom Cruise once threatened Tom Kruse who is the inventory of the hoverboard.<br />agent_2: I heard that!  I think he should have just endorsed it and gone along with it.<br />agent_1: I agree. Tom Cruise spent two years learning Japanese and swordplay in preparation for a film.<br />agent_2: That is dedication, I have always admired him for his acting skills. <br />agent_1: Me too. He has a $10 million dollar underground bunker to protect himself from aliens.<br />agent_2: That is the weird side of him, I remember when he went kind of nuts on the Ellen show years back. <br />agent_1: It was great chatting.<br /><br />","YouTube"
